country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category
Russia,Praskoveya,51,2,1,1,36,1,0,1,51,2
Brazil,Presidente Dutra,41,1,1,1,5,1,1,1,41,1
Italy,Priolo Gargallo,66,2,1,1,39,1,2,1,66,2
Poland,Przasnysz,34,1,1,1,34,1,0,1,20,1
France,Punaauia,22,1,0,1,22,1,0,1,6,1
United States of America,Punta Gorda,54,2,1,1,14,1,11,1,54,2
Germany,Puttlingen,62,2,1,1,35,1,3,1,62,2
Belgium,Puurs,64,2,1,1,29,1,7,1,64,2
Russia,Pyatigorsk,54,2,1,1,41,1,1,1,54,2
Egypt,Qalyub,142,3,3,1,89,2,9,1,142,3
China,Qinzhou,68,2,2,1,68,2,1,1,58,2
Netherlands,Raalte,41,1,1,1,24,1,6,1,41,1
India,Radaur,158,4,3,1,139,3,1,1,158,4
Pakistan,Radhan,158,4,1,1,50,1,1,1,158,4
Republic of North Macedonia,Radovis,83,2,1,1,46,1,0,1,83,2
France,Raismes,59,2,1,1,30,1,4,1,59,2
India,Rajgir,154,4,3,1,100,3,2,1,154,4
Italy,Ramacca,55,2,1,1,47,1,0,1,55,2
United States of America,Phoenix,72,2,1,1,4,1,23,1,72,2
India,Phulabani,161,4,2,1,71,2,0,1,161,4
Poland,Piaseczno,28,1,1,1,28,1,2,1,28,1
India,Pimpri,118,3,2,1,30,1,2,1,118,3
Brazil,Pindobacu,33,1,0,1,10,1,1,1,33,1
China,Pingyin,150,4,3,1,95,2,6,1,150,4
Brazil,Pinheiral,154,4,5,1,0,1,13,1,154,4
India,Piravam,81,2,1,1,24,1,1,1,81,2
Colombia,Plato,67,2,1,1,16,1,2,1,67,2
Romania,Poiana Mare,62,2,1,1,37,1,1,1,62,2
Russia,Polevskoy,31,1,1,1,31,1,0,1,17,1
France,Pontarlier,56,2,1,1,35,1,0,1,56,2
United States of America,Pontiac,77,2,2,1,22,1,15,1,77,2
Indonesia,Pontianak,44,1,1,1,15,1,0,1,44,1
Brazil,Porecatu,30,1,1,1,9,1,2,1,30,1
Finland,Pori,30,1,1,1,30,1,1,1,15,1
South Africa,Port Elizabeth,79,2,3,1,18,1,5,1,79,2
United States of America,Port Neches,34,1,1,1,19,1,7,1,34,1
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,2,1,1,20,1,5,1,51,2
United States of America,Portales,77,2,1,1,34,1,0,1,77,2
United States of America,Post Falls,61,2,1,1,32,1,3,1,61,2
Brazil,Pouso Alegre,32,1,1,1,7,1,2,1,32,1
China,Dalinghe,64,2,3,1,64,2,4,1,64,2
Russia,Dalnegorsk,29,1,0,1,29,1,0,1,25,1
United Republic of Tanzania,Dar Es Salaam,51,2,1,1,23,1,0,1,51,2
India,Darbhanga,247,5,3,1,162,4,1,1,247,5
United States of America,Dayton,45,1,1,1,32,1,7,1,45,1
Belgium,Deinze,36,1,1,1,25,1,3,1,36,1
Egypt,Dekernes,81,2,2,1,81,2,4,1,56,2
Haiti,Delmas,124,3,2,1,15,1,5,1,124,3
United States of America,Deming,72,2,1,1,26,1,2,1,72,2
United Kingdom of Great Britain and Northern Ireland,Denton,55,2,0,1,32,1,1,1,55,2
United States of America,Destin,31,1,0,1,31,1,0,1,25,1
Pakistan,Dhadar,157,4,1,1,89,2,0,1,157,4
India,Dharmapuri,60,2,1,1,31,1,1,1,60,2
Pakistan,Digri,153,4,1,1,40,1,0,1,153,4
Somalia,Dinsor,22,1,0,1,19,1,0,1,22,1
Philippines,Dipolog,30,1,1,1,17,1,0,1,30,1
Latvia,Dobele,44,1,1,1,34,1,0,1,44,1
United States of America,Grandville,47,1,1,1,37,1,4,1,47,1
Netherlands,Grave,37,1,0,1,32,1,2,1,37,1
United States of America,Green Valley,44,1,1,1,14,1,8,1,44,1
United States of America,Greendale,58,2,2,1,14,1,24,1,58,2
Poland,Grudziadz,37,1,0,1,33,1,0,1,37,1
Colombia,Guamo,89,2,3,1,3,1,6,1,89,2
Italy,Guardiagrele,52,2,2,1,38,1,7,1,52,2
Chad,Guelengdeng,59,2,2,1,16,1,0,1,59,2
United Kingdom of Great Britain and Northern Ireland,Guildford,51,2,1,1,25,1,6,1,51,2
Philippines,Guiset,66,2,1,1,26,1,1,1,66,2
Russia,Gukovo,38,1,1,1,38,1,0,1,13,1
United States of America,Havre De Grace,34,1,1,1,30,1,7,1,34,1
United States of America,Hazelwood,88,2,2,1,11,1,20,1,88,2
Germany,Heddesheim,54,2,1,1,31,1,3,1,54,2
Germany,Heiligenhaus,44,1,1,1,28,1,3,1,44,1
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,2,1,1,26,1,6,1,51,2
United States of America,Hicksville,67,2,2,1,15,1,23,1,67,2
Brazil,Hidrolandia,42,1,1,1,5,1,2,1,42,1
India,Gyanpur,189,4,2,1,99,2,1,1,189,4
Germany,Haiger,49,1,1,1,25,1,3,1,49,1
China,Hangzhou,203,5,5,1,203,5,5,1,151,4
Germany,Harrislee,35,1,0,1,32,1,0,1,35,1
United States of America,Harrison,90,2,1,1,25,1,2,1,90,2
India,Harur,67,2,1,1,26,1,1,1,67,2
Germany,Hasbergen,36,1,0,1,34,1,1,1,36,1
France,Haubourdin,48,1,1,1,28,1,4,1,48,1
United States of America,Taunton,41,1,1,1,28,1,10,1,41,1
New Zealand,Tauranga,19,1,0,1,19,1,1,1,17,1
Tunisia,Tawzar,73,2,1,1,43,1,0,1,73,2
Viet Nam,Tay Ninh,45,1,0,1,18,1,1,1,45,1
Iran (Islamic Republic of),Taybad,170,4,1,1,43,1,0,1,170,4
Italy,Teano,47,1,1,1,47,1,1,1,36,1
India,Tekkali,155,4,3,1,82,2,1,1,155,4
Brazil,Teodoro Sampaio,46,1,1,1,9,1,1,1,46,1
Mexico,Tepeaca,172,4,5,1,2,1,11,1,172,4
Mexico,Tequila,64,2,1,1,15,1,2,1,64,2
Italy,Teramo,44,1,1,1,44,1,1,1,38,1
Viet Nam,Thai Nguyen,150,4,3,1,150,4,1,1,105,3
China,Tianjin,142,3,4,1,113,3,9,1,142,3
Indonesia,Tidore,21,1,0,1,13,1,0,1,21,1
Romania,Timisoara,47,1,1,1,42,1,0,1,47,1
Tunisia,Tinjah,48,1,1,1,48,1,1,1,29,1
Philippines,Toboso,54,2,1,1,20,1,0,1,54,2
Japan,Tokorozawa,60,2,1,1,44,1,3,1,60,2
Mexico,Toluca,166,4,4,1,8,1,19,1,166,4
Brazil,Itapissuma,27,1,0,1,23,1,1,1,27,1
Brazil,Itarantim,23,1,1,1,7,1,1,1,23,1
