country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,lat,lon
Russia,Praskoveya,51,2,1,1,36,1,0,1,51,2,44.745212,44.193819
Brazil,Presidente Dutra,41,1,1,1,5,1,1,1,41,1,-11.2959181,-41.9871566
Italy,Priolo Gargallo,66,2,1,1,39,1,2,1,66,2,37.1579298,15.1860285
Poland,Przasnysz,34,1,1,1,34,1,0,1,20,1,53.0190219,20.8804028
France,Punaauia,22,1,0,1,22,1,0,1,6,1,-17.5929204,-149.6063669
United States of America,Punta Gorda,54,2,1,1,14,1,11,1,54,2,26.9297836,-82.0453664
Germany,Puttlingen,62,2,1,1,35,1,3,1,62,2,49.287307,6.8827786
Belgium,Puurs,64,2,1,1,29,1,7,1,64,2,51.0762086,4.2817075
Russia,Pyatigorsk,54,2,1,1,41,1,1,1,54,2,44.039775,43.0706669
Egypt,Qalyub,142,3,3,1,89,2,9,1,142,3,30.178875,31.206436
China,Qinzhou,68,2,2,1,68,2,1,1,58,2,21.9647835,108.620787
Netherlands,Raalte,41,1,1,1,24,1,6,1,41,1,52.3874327,6.307848238791079
India,Radaur,158,4,3,1,139,3,1,1,158,4,30.0309855,77.1518216
Pakistan,Radhan,158,4,1,1,50,1,1,1,158,4,27.1775378,67.9512147
Republic of North Macedonia,Radovis,83,2,1,1,46,1,0,1,83,2,41.639832,22.4645893
France,Raismes,59,2,1,1,30,1,4,1,59,2,50.3916313,3.4823888
India,Rajgir,154,4,3,1,100,3,2,1,154,4,25.0299973,85.4207368
Italy,Ramacca,55,2,1,1,47,1,0,1,55,2,37.388048,14.692681
United States of America,Phoenix,72,2,1,1,4,1,23,1,72,2,33.4484367,-112.074141
India,Phulabani,161,4,2,1,71,2,0,1,161,4,20.50756595,84.22731067744127
Poland,Piaseczno,28,1,1,1,28,1,2,1,28,1,52.0747377,21.0270885
India,Pimpri,118,3,2,1,30,1,2,1,118,3,19.4606998,77.1457815
Brazil,Pindobacu,33,1,0,1,10,1,1,1,33,1,-10.7439121,-40.3619457
China,Pingyin,150,4,3,1,95,2,6,1,150,4,36.2894384,116.4503206
Brazil,Pinheiral,154,4,5,1,0,1,13,1,154,4,-22.5129436,-44.001435
India,Piravam,81,2,1,1,24,1,1,1,81,2,9.8733689,76.4922683
Colombia,Plato,67,2,1,1,16,1,2,1,67,2,9.7904163,-74.7820016
Romania,Poiana Mare,62,2,1,1,37,1,1,1,62,2,43.9193248,23.0649446
Russia,Polevskoy,31,1,1,1,31,1,0,1,17,1,56.442108,60.165859
France,Pontarlier,56,2,1,1,35,1,0,1,56,2,46.9040348,6.3546345
United States of America,Pontiac,77,2,2,1,22,1,15,1,77,2,42.6389216,-83.2910468
Indonesia,Pontianak,44,1,1,1,15,1,0,1,44,1,-0.0226903,109.3447488
Brazil,Porecatu,30,1,1,1,9,1,2,1,30,1,-22.753724,-51.37949
Finland,Pori,30,1,1,1,30,1,1,1,15,1,61.4865443,21.7968859
South Africa,Port Elizabeth,79,2,3,1,18,1,5,1,79,2,-33.9618359,25.6186512
United States of America,Port Neches,34,1,1,1,19,1,7,1,34,1,29.9913244,-93.9585067
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,2,1,1,20,1,5,1,51,2,51.5952353,-3.7824148
United States of America,Portales,77,2,1,1,34,1,0,1,77,2,34.1861922,-103.334397
United States of America,Post Falls,61,2,1,1,32,1,3,1,61,2,47.7110106,-116.9480877
Brazil,Pouso Alegre,32,1,1,1,7,1,2,1,32,1,-22.2343858,-45.9327241
